100
astidistra,1,aspidistra
ejtromelic,1,ectromelic
hrstoriographic,1,historiographic
fuselahe,1,fuselage
tayis,2,tapis,taxis
rxcombed,1,recombed
shobling,1,shoaling
ocerflown,1,overflown
catapuloing,1,catapulting
hyenlc,1,hyenic
dentiparovs,1,dentiparous
mtgnesia,1,magnesia
wnlshman,1,welshman
decnyed,2,decayed,decoyed
cheaterius,1,cheateries
pwlmist,1,palmist
stsncillers,1,stencillers
lnghters,1,lighters
resake,4,remake,resale,retake,rewake
dukluk,1,mukluk
reenforcemext,1,reenforcement
pseumomorph,1,pseudomorph
bellwfthers,1,bellwethers
auxotonii,1,auxotonic
knkcker,2,knacker,knocker
clgsets,1,closets
loeust,1,locust
vimfna,1,vimina
passablz,2,passable,passably
fhddled,2,fiddled,fuddled
locktts,1,lockets
nannygli,1,nannygai
cagklers,1,cacklers
raizlietina,1,raillietina
enterpriseqs,1,enterprisers
komatih,1,komatik
overraachers,1,overreachers
paganisu,3,paganish,paganism,paganist
teminity,1,feminity
kaw,11,caw,haw,jaw,kat,law,maw,paw,raw,saw,taw,yaw
dilatabilgty,1,dilatability
rejsctor,1,rejector
iunt,7,aunt,bunt,cunt,dunt,hunt,punt,runt
comeny,2,comedy,comely
yungeons,1,dungeons
yltrafiltration,1,ultrafiltration
creatinuriq,1,creatinuria
janister,3,banister,canister,ganister
accusern,1,accusers
sailprane,1,sailplane
whinged,2,whanged,wringed
pecrypted,1,decrypted
biidles,1,bridles
gryphoas,1,gryphons
eocturn,1,nocturn
refectcon,1,refection
lampoonerp,2,lampooners,lampoonery
prvssuring,1,pressuring
vwricelloid,1,varicelloid
nonwssential,1,nonessential
receperator,1,recuperator
eypatridae,1,eupatridae
isocrptic,1,isocratic
unved,3,unfed,unvex,unwed
fluotomepries,0
isolaele,1,isolable
nondeductiile,1,nondeductible
throvtles,1,throttles
lamellosipy,1,lamellosity
haruots,1,harlots
dercentenary,1,tercentenary
tasimetrix,1,tasimetric
thalloiz,1,thalloid
tripletagl,1,tripletail
treyatodes,1,trematodes
bimetaljist,1,bimetallist
inscrimtively,1,inscriptively
precogniqion,1,precognition
nidificztion,1,nidification
sigwtseer,1,sightseer
mailblx,1,mailbox
seeter,7,meeter,seater,seeder,seeker,seemer,setter,teeter
wjrker,1,worker
encadstic,1,encaustic
refrayable,1,defrayable
tripwireq,1,tripwires
ftists,1,foists
monotiichate,1,monotrichate
bprch,1,birch
inbensories,1,incensories
confinelly,1,confinedly
nauteloses,0
fkuorjscope,0
skinrike,1,skinlike
bienncally,1,biennially
corrvgan,1,corrigan
colvboma,1,coloboma
conlesced,1,coalesced
folixm,1,folium
circulatn,1,circulate
